ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Number_Object_Number
1,68,459,1030.0,371.0,1.2150285529067344,0.74132438207111639,1.0,0.61693548387096775,0.65314126584142052,31.322263373130692,31.32091952673165,8.5440037453175304,3.4621959896395831,3.1622776601683795,22.47181921784566,21.021839944428496,73.737946324292125,93.974000000000046,0.85554520037278659,1031.4074074074074,373.958605664488,68
1,69,321,241.0,378.0,1.3286349556104669,0.56178015838732642,1.0,0.53678929765886285,0.49151321741644044,25.4318969742638,25.612496949731394,7.0710678118654755,2.8203376835995391,2.2360679774997898,21.465417558095538,21.039466581874823,15.369506061386973,90.592000000000027,0.76519666269368292,238.99376947040497,378.76947040498442,69
1,70,304,1019.0,384.0,1.0839210229302181,0.71780052091964208,1.0,0.65800865800865804,0.83021121058721503,23.821719628609181,22.825424421026653,7.810249675906654,3.3221399477514542,2.8284271247461903,15.617376188860607,16.585844058893613,48.705743831887823,67.834000000000032,0.92966360856269115,1017.75,382.9375,70
1,71,293,1004.0,392.0,1.0372546570215937,0.62632638804174312,1.0,0.78342245989304815,0.90071326752276304,21.990571325608986,22.135943621178654,9.0,3.460965286868912,3.0,16.0,17.142990403924532,16.517733379949494,63.936000000000021,0.95284552845528458,1004.80204778157,392.24232081911265,71
1,72,357,1031.0,397.0,1.1536449950787853,0.72547666026588453,1.0,0.6071428571428571,0.65002030753506479,26.71920155408138,27.658633371878661,8.0622577482985491,3.2840952690738199,3.0,18.398919294726873,18.389404147048456,8.4966078157536113,83.076000000000036,0.87607361963190211,1029.3613445378151,398.32492997198881,72
1,73,417,229.0,405.0,1.3331677086327771,0.88135267789021943,1.0,0.65156250000000004,0.70164493589133181,34.048839562609103,33.61547262794322,8.0622577482985491,3.4290399154178526,3.0,16.546903033498445,16.086678907055646,-70.786024319335027,86.42000000000003,0.92976588628762535,230.92326139088729,399.79376498800957,73
1,74,488,1031.0,417.0,1.073133899568254,0.63826919587603403,1.0,0.73163418290854576,0.76693817372125073,28.970115999142042,28.635642126552707,10.440306508910551,4.0525291869761544,3.6055512754639891,21.785870143995499,22.301579032013731,-6.8591500988381782,89.42000000000003,0.91815616180620885,1029.2725409836066,417.76024590163934,74
1,75,207,229.0,421.0,1.0392250418420801,0.58538053357132513,1.0,0.71875,0.84382037153348,18.238830249359882,18.384776310850235,7.2111025509279782,2.900486904488901,2.8284271247461903,14.849242404917497,14.787289867082229,-55.566695937852387,55.52200000000002,0.92000000000000004,228.92753623188406,421.78260869565219,75
1,76,418,237.0,435.0,1.2944603843958793,0.82597996180631317,1.0,0.57417582417582413,0.65487434334845118,32.367771279304328,30.805843601498726,8.5440037453175304,3.3443280879315527,3.0,19.230184606498192,18.245695808532378,-28.437936419907274,89.560000000000045,0.85919835560123325,232.97368421052633,437.35645933014354,76
1,77,345,1035.0,438.0,1.096653223067702,0.68534742669128834,1.0,0.68999999999999995,0.76359389197748007,25.136023673888843,24.758836806279895,8.9442719099991592,3.4343469559446422,3.0,17.888543819998318,18.304460864564515,27.136127640462838,75.350000000000037,0.91390728476821192,1033.968115942029,436.36231884057969,77
1,78,242,234.0,456.0,1.0506363668818,0.67746032122046007,1.0,0.70760233918128657,0.85142405471956217,20.553007437485714,19.723082923316021,7.6157731058639087,3.1211765649347996,2.8284271247461903,14.758048651498612,15.117956173735998,-56.932745317826743,59.764000000000024,0.93076923076923079,233.82231404958677,456.17768595041321,78
