,index,standard deviation,mean gap,nb non zero gap,max gap,solving time,objective value
261,11,0.00625,0.001112174526755053,48,0.005059720949722367,209.65671600000496,0.00029249473355997776
262,12,0.00625,0.0034787440448840554,48,0.015025076096354117,312.7080199999982,0.00016609783239596607
263,13,0.00625,0.003829195349033282,48,0.012561633895137675,160.91401800000313,0.00013669096559445855
264,14,0.00625,0.0019484385472681995,48,0.004883928315417889,96.78174500000023,0.0003093270870328626
265,15,0.00625,0.0016713152164678621,48,0.009447282169012666,105.01716899999883,0.0007063124921223038
266,16,0.00625,0.0010796842349404543,48,0.00391720520861899,70.80312199999753,0.0007195438541371152
267,17,0.00625,0.0016929399693595742,48,0.007272231440053498,94.56517499999609,0.0004104600589900137
268,18,0.00625,0.000663805566708712,48,0.003188453931418053,105.72079200000007,0.0006697725807250342
269,19,0.00625,0.0019135364192406658,48,0.005660230741209825,121.37189300000318,0.0005372751753405196
270,20,0.00625,0.0016168834515950835,48,0.006636998813576059,76.15431199999875,0.000518431556209689
271,21,0.00625,0.001407035861580519,48,0.004616227929393604,92.74900499999785,0.0005326094739888391
272,22,0.00625,0.0020653026923975414,48,0.0056761032785440785,317.348404999997,0.0007212814631243745
273,23,0.00625,0.0011439489909751707,48,0.003521587956434983,66.331898000004,0.0007690963110804319
274,24,0.00625,0.006982029435691169,48,0.029571445499220347,1770.1191309999995,0.00021397605206555266
275,25,0.00625,0.0013869991388594197,48,0.0035512317643054993,111.67265500000212,0.00041132915445722906
276,26,0.00625,0.003651839868787669,48,0.016551658964998002,321.13521200000105,0.0003115317723015633
277,27,0.00625,0.0027861338710726473,48,0.011431827636174154,128.79184600000008,0.00020078876597740195
278,28,0.00625,0.0007752314881850565,48,0.004335723638266717,46.02386799999658,0.00032272398696469706
279,29,0.00625,0.0028896403283071672,48,0.009818783728062205,170.22313099999883,0.0002445544417270433
280,30,0.00625,0.0022136578159267597,48,0.004913804545196843,280.8395210000017,0.0008356524270133798
281,31,0.00625,0.0018992614260843188,48,0.004776401191512493,121.01492800000415,0.0002484706508223907
282,32,0.00625,0.0021875847881788007,48,0.008347618962111574,136.5023579999979,0.00038984543939646896
283,33,0.00625,0.0037933555061012447,48,0.022933254108098274,311.75048799999786,0.00024111622840938495
284,34,0.00625,0.0017294476334986312,48,0.004951215472249977,87.59482000000571,0.00011716686382371739
285,35,0.00625,0.0027170735403700217,48,0.011637056217049253,212.0987230000028,0.0002338118823977841
286,36,0.00625,0.002139949476495142,48,0.009252243995960738,346.43011499999557,0.00036643151411047003
287,37,0.00625,0.0010624398050201502,48,0.004467471212394124,92.7506360000043,0.0005816536279545893
288,38,0.00625,0.0020173298865580735,48,0.007838909424654879,86.52039399999921,0.00034155113234571717
289,39,0.00625,0.0021142789512196714,48,0.009836618453015394,341.63165299999673,0.00031796787748077733
290,40,0.00625,0.0016864897183512095,48,0.007877784806045273,94.58320399999502,0.0004021697152034009
291,41,0.00625,0.0012286623981031955,48,0.007112673858332995,79.90622100000473,0.0003505587085535197
292,42,0.00625,0.0006060335041399495,48,0.0026264548745435923,58.486417000000074,0.0008619409043981226
293,43,0.00625,0.0012395350400778995,48,0.003698717772792409,94.12450000000536,0.0003104609571451785
294,44,0.00625,0.0008504332576317206,48,0.0033207081480279947,45.41499399999884,0.0007996027893838804
295,45,0.00625,0.0022981487728386367,48,0.0118980472368471,222.59170299999823,0.00035663562950607325
296,46,0.00625,0.002368851022014127,48,0.00651214179481175,83.19162700000015,0.0006033495812037986
297,47,0.00625,0.0004083498504631183,48,0.002584713584682704,50.18215700000292,0.000776766372474257
298,48,0.00625,0.0008440949577621547,48,0.004154252028982557,229.12958000000071,0.00023555703679301916
299,49,0.00625,0.0018558840410570997,48,0.0067538668446467595,180.26207199999772,0.000568398152405263
300,0,0.007500000000000001,0.0017806555170178711,48,0.0042104463057217965,71.56972200000018,0.0006096056799731301
301,1,0.007500000000000001,0.0015831599763458705,48,0.004013510611028054,161.16423100000247,0.000982464800501637
302,2,0.007500000000000001,0.0023156975954514683,48,0.00916006301663208,119.74187700000039,0.0002209425368662281
303,3,0.007500000000000001,0.0018772776582027366,48,0.007419759162418521,109.1903439999951,0.00038014807455743327
304,4,0.007500000000000001,0.0026076759556463765,48,0.010166213087108016,194.13506400000188,0.0005396094009163367
305,5,0.007500000000000001,0.001682690378408229,48,0.005522148771140642,104.98394399999961,0.0009357075930856789
306,6,0.007500000000000001,0.0022993371376952396,48,0.006743549581030142,144.26579700000002,0.0008113376278733603
307,7,0.007500000000000001,0.001384416170333624,48,0.003705082829552283,103.90634200000204,0.0006385490471143251
308,8,0.007500000000000001,0.002320938227709328,48,0.011517731657420392,65.3934769999978,0.0006109564370300934
309,9,0.007500000000000001,0.0027553873057269695,48,0.008179718318560604,288.6471870000023,0.00020765922472459197
310,10,0.007500000000000001,0.003943540510788541,48,0.017870733496302978,1846.271246999997,0.00019208204346159367
311,11,0.007500000000000001,0.0016942479755850434,48,0.005443371716347687,76.34819699999935,0.0005706553473301704
312,12,0.007500000000000001,0.0023147485223771196,48,0.007565937650611997,117.47768200000428,0.0008465179511125177
313,13,0.007500000000000001,0.0012708792170771008,48,0.003868692553635993,82.03266399999848,0.00031445410038141025
314,14,0.007500000000000001,0.0010532361699439722,48,0.004303641876446482,220.90310899999895,0.0003209635281195932
315,15,0.007500000000000001,0.00033709786997618724,48,0.002584721571266116,38.45415399999911,0.0007881250120569577
316,16,0.007500000000000001,0.0025189511189995556,48,0.00616917977481172,119.13192700000218,0.00034507133708875986
317,17,0.007500000000000001,0.001674313250593625,48,0.008837146048739197,142.83796299999813,0.0005224304041355666
318,18,0.007500000000000001,0.002591343216415375,48,0.005446475982433481,190.0214629999973,0.0003353981790135964
319,19,0.007500000000000001,0.0025166627785306608,48,0.006994397919853984,256.0655079999997,0.0009370322858787001
320,20,0.007500000000000001,0.001344929626652786,48,0.0043111617456832035,66.85049599999911,0.0005483947989605998
321,21,0.007500000000000001,0.0017758172719384683,48,0.008342927759480881,638.243521000004,0.0004280123307948296
322,22,0.007500000000000001,0.0016651171348363123,48,0.003934924340545145,563.2449899999992,0.001082172479449942
323,23,0.007500000000000001,0.001425709504611519,48,0.004157023912278145,146.10956899999292,0.0009279016632996725
324,24,0.007500000000000001,0.0009759249945928671,48,0.0034442690404085045,61.55720900000597,0.0014950093151460406
325,25,0.007500000000000001,0.002098662856449853,48,0.006425101517150292,103.36186499999894,0.0008240738300149903
326,26,0.007500000000000001,0.0016016923856312848,48,0.007069051933593404,52.26495799999975,0.0004911378042101212
327,27,0.007500000000000001,0.0022205812945624817,48,0.008575757195060874,86.82575299999735,0.0001774452143096571
328,28,0.007500000000000001,0.002439257261169622,48,0.011090200725679851,87.25672599999962,0.0010465617731800739
329,29,0.007500000000000001,0.0010741834979513907,48,0.004100904391512013,114.60671600000205,0.0010832405179019467
330,30,0.007500000000000001,0.00185157062248499,48,0.006971820002126686,85.64451800000097,0.0007839695665512712
331,31,0.007500000000000001,0.0018972685497488338,48,0.004766811041071219,398.26150600000256,0.00043419090161427184
332,32,0.007500000000000001,0.0009020902979880485,48,0.00270039958363278,83.56625300000451,0.0011592565104699701
333,33,0.007500000000000001,0.0009066282700611392,48,0.0031547507025908653,104.1667379999999,0.0005250474812841342
334,34,0.007500000000000001,0.0014632633832316183,48,0.0035768828089739937,117.40046599999914,0.00039025279686356396
335,35,0.007500000000000001,0.0014956858865865085,48,0.004218157310367739,186.54573600000003,0.001413124378186798
336,36,0.007500000000000001,0.002159662681372075,48,0.005606400315589288,380.1084250000058,0.0007407745667034704
337,37,0.007500000000000001,0.0010676916361120504,48,0.0034482421930183416,69.68132299999706,0.0010364809434572435
338,38,0.007500000000000001,0.0027305905647887776,48,0.010457776282125353,208.4656629999954,0.0007862350485584818
